customer_index,segment,churn_probability,persona,secondary_persona,priority,driver_1,driver_2,driver_3,recommended_actions
16252,Low,0.7661,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Mobile_App_Usage,Sale Notification
25344,IMP,0.9945,Frustrated Customer,Dormant Customer,High,Customer_Service_Calls,Returns_Rate,Days_Since_Last_Purchase,Priority Support | Service Recovery Campaign
28604,Medium,0.9724,Price Sensitive Shopper,Frustrated Customer,Low,Cart_Abandonment_Rate,Customer_Service_Calls,Email_Open_Rate,Promotional Campaign
22074,High,0.9958,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Email_Open_Rate,Returns_Rate,Service Recovery Campaign
21183,Low,0.5827,Frustrated Customer,Disengaged Customer,Minimal,Customer_Service_Calls,Purchase_Frequency,Days_Since_Last_Purchase,Feedback Request
45057,Medium,0.9868,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Returns_Rate,Promotional Campaign
5571,High,0.9914,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Total_Purchases,Average_Order_Value,Service Recovery Campaign
26695,High,0.9779,Frustrated Customer,Disengaged Customer,Medium,Customer_Service_Calls,Returns_Rate,Cart_Abandonment_Rate,Service Recovery Campaign
5913,Medium,0.531,Disengaged Customer,Frustrated Customer,Low,Customer_Service_Calls,Email_Open_Rate,Mobile_App_Usage,Re-engagement Email
24257,High,0.9923,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,Total_Purchases,Service Recovery Campaign
36131,High,0.9938,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,LTV_Per_Purchase,Total_Purchases,Service Recovery Campaign
2808,Low,0.8106,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Wishlist_Items,Newsletter
19316,Medium,0.9035,Dormant Customer,Price Sensitive Shopper,Low,Purchase_Frequency,Days_Since_Last_Purchase,Email_Open_Rate,Automated Re-engagement Email
43709,Medium,0.914,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Customer_Service_Calls,Promotional Campaign
7328,Low,0.9589,Price Sensitive Shopper,Disengaged Customer,Minimal,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Sale Notification
938,High,0.9854,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,Total_Purchases,Service Recovery Campaign
44875,Low,0.6215,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Age,Mobile_App_Usage,Sale Notification
36692,High,0.9998,Frustrated Customer,Price Sensitive Shopper,Medium,Age,Customer_Service_Calls,Discount_Usage_Rate,Service Recovery Campaign
32633,Medium,0.9768,Price Sensitive Shopper,Dormant Customer,Low,Age,Discount_Usage_Rate,Purchase_Frequency,Promotional Campaign
14408,Low,0.9214,Frustrated Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Returns_Rate,Customer_Service_Calls,Feedback Request
2384,High,0.9863,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Days_Since_Last_Purchase,LTV_Per_Purchase,Service Recovery Campaign
33075,Low,0.6949,Dormant Customer,Disengaged Customer,Minimal,Purchase_Frequency,Days_Since_Last_Purchase,Wishlist_Items,Newsletter Reminder
18126,IMP,0.9872,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,Days_Since_Last_Purchase,Product_Reviews_Written,Priority Support | Service Recovery Campaign
40368,High,0.9855,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,Returns_Rate,Service Recovery Campaign
2879,High,0.9915,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,LTV_Per_Purchase,Service Recovery Campaign
7596,Low,0.7121,Frustrated Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Age,Returns_Rate,Feedback Request
17303,Low,0.9979,Price Sensitive Shopper,Frustrated Customer,Minimal,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Sale Notification
20614,Low,0.626,Frustrated Customer,Disengaged Customer,Minimal,Customer_Service_Calls,Purchase_Frequency,Returns_Rate,Feedback Request
40945,Low,0.9135,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Returns_Rate,Sale Notification
48224,Medium,0.9872,Price Sensitive Shopper,Frustrated Customer,Low,Age,Discount_Usage_Rate,Customer_Service_Calls,Promotional Campaign
13042,Low,0.6411,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Login_Frequency,Sale Notification
33543,Low,0.994,Price Sensitive Shopper,Disengaged Customer,Minimal,Age,Discount_Usage_Rate,Cart_Abandonment_Rate,Sale Notification
18864,Low,0.8516,Disengaged Customer,Frustrated Customer,Minimal,Email_Open_Rate,Customer_Service_Calls,Cart_Abandonment_Rate,Newsletter
49712,Medium,0.7215,Dormant Customer,Disengaged Customer,Low,Purchase_Frequency,Days_Since_Last_Purchase,Email_Open_Rate,Automated Re-engagement Email
5982,Low,0.6051,Frustrated Customer,Disengaged Customer,Minimal,Customer_Service_Calls,Email_Open_Rate,Cart_Abandonment_Rate,Feedback Request
49159,Low,0.6568,Frustrated Customer,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Customer_Service_Calls,Returns_Rate,Feedback Request
30843,Low,0.9577,Disengaged Customer,Price Sensitive Shopper,Minimal,Cart_Abandonment_Rate,Email_Open_Rate,Purchase_Frequency,Newsletter
27212,High,0.9894,Frustrated Customer,Dormant Customer,Medium,Customer_Service_Calls,Returns_Rate,LTV_Per_Purchase,Service Recovery Campaign
28441,Medium,0.5617,Frustrated Customer,Price Sensitive Shopper,Low,Cart_Abandonment_Rate,Age,Customer_Service_Calls,Customer Feedback Survey
39751,High,0.9885,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Total_Purchases,LTV_Per_Purchase,Service Recovery Campaign
14523,IMP,0.9867,Frustrated Customer,Price Sensitive Shopper,High,Customer_Service_Calls,LTV_Per_Purchase,Average_Order_Value,Priority Support | Service Recovery Campaign
14545,Low,0.9192,Price Sensitive Shopper,Disengaged Customer,Minimal,Cart_Abandonment_Rate,Age,Customer_Service_Calls,Sale Notification
13174,Low,0.644,Dormant Customer,Price Sensitive Shopper,Minimal,Days_Since_Last_Purchase,Cart_Abandonment_Rate,Purchase_Frequency,Newsletter Reminder
13833,High,0.9931,Frustrated Customer,Price Sensitive Shopper,Medium,Customer_Service_Calls,Discount_Usage_Rate,LTV_Per_Purchase,Service Recovery Campaign
